arrayID	SampleID	Pop	Origin	Trt	Exp	TrtPool	Tmpt
500813_Cycle9	US003_D1T1	US003	inv	drought	exprs	D1	1
509185_Cycle1	US003_D1T2	US003	inv	drought	exprs	D1	2
500952_Cycle10	US003_D2T0	US003	inv	drought	exprs	D2	0
509192_Cycle6	US003_D2T1	US003	inv	drought	exprs	D2	1
509192_Cycle1	US003_D2T2	US003	inv	drought	exprs	D2	2
501192_Cycle3	US003_D3T0	US003	inv	drought	exprs	D3	0
500982_Cycle4	US003_D3T1	US003	inv	drought	exprs	D3	1
509195_Cycle2	US003_D3T2	US003	inv	drought	exprs	D3	2
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
