Latitude	Longitude	Pop
1	49.017940	-123.081848	CA001
2	49.3499833333333	-119.923508333333	CA002
3	49.3499833333333	-119.923508333333	CA003
4	50.8333333333333	-120.616666666667	CA004
5	49.5816416666667	-118.426277777778	CA005
6	49.3201805555556	-118.370436111111	CA006
7	49.2961027777778	-118.473830555556	CA007
8	49.0120833333333	-118.645711111111	CA008
9	49.2961027777778	-118.473830555556	CA009
10	49.3201805555556	-118.370436111111	CA010
11	49.2961027777778	-118.473830555556	CA011
12	50.8333333333333	-120.616666666667	CA012
13	49.3201805555556	-118.370436111111	CA013
14	49.3499833333333	-119.923508333333	CA014
15	39.5303944444444	-118.185611111111	US004
16	47.1949361111111	-119.061638888889	US005
17	39.7028333333333	-105.324222222222	US006
18	39.6966666666667	-104.807583333333	US007
19	45.9163333333333	-118.441166666667	US008
20	45.60475	-120.816027777778	US009
21	43.8371388888889	-105.125388888889	US010
22	43.3855277777778	-106.937333333333	US011
23	40.5281527777778	-104.848788888889	US012
24	40.5612027777778	-104.865452777778	US013
25	40.1222666666667	-101.280283333333	US014
26	42.7253611111111	-118.001033333333	US015
27	46.8681166666667	-109.066486111111	US016
28	40.4211055555556	-122.555069444444	US017
29	43.5467722222222	-118.913991666667	US018
30	40.8023416666667	-104.409911111111	US019
31	46.9839888888889	-119.580186111111	US020
32	46.617	-110.092138888889	US021
33	45.74515	-119.784683333333	US022
34	39.224275	-103.122291666667	US023
35	34.8557	-110.235983333333	US024
36	46.8530555555556	-115.59	US025
37	40.3719055555556	-104.472561111111	US026
38	43.389431	28.457409	BG001
39	40.156790	22.526020	GR001
40	40.6213888888889	23.0786111111111	GR002
41	40.87	25.7930555555556	GR003
42	47.6419444444444	18.7825	HU001
43	44.1102777777778	28.6369444444444	RO001
44	43.9024333333333	28.5739166666667	RO002
45	44.3896666666667	28.5266388888889	RO003
46	45.4978611111111	27.9118055555556	RO005
47	45.3258333333333	37.2236111111111	RU007
48	41.7511111111111	27.2477777777778	TR001
49	41.0123777777778	28.975925	TR002
50	38.7672222222222	37.0038888888889	TR003
51	38.3672222222222	42.7736111111111	TR004
52	39.7825	41.0736111111111	TR005
53	48.1006666666667	37.8161111111111	UA001
54	48.1523333333333	37.8405833333333	UA002
55	50.48075	30.4863055555556	UA003
56	48.6460277777778	30.7750833333333	UA004
57	47.862	38.4606944444444	UA005
58	45.7083333333333	33.3497222222222	UA006
59	48.0922222222222	30.7497222222222	UA007
60	46.7572222222222	32.7661111111111	UA008
61	45.6152333333333	-120.787533333333	US001
62	46.1822666666667	-118.82615	US002
63	46.60415	-116.64175	US003
64	42.1153	23.3203	BG3
65	45.5761833333333	29.51805	RO004
66	48.2009166666667	16.97415	SAND
67	43.1751666666667	22.6669333333333	SERG
68	51.38333333	56.8	RU001
69	49.1791667	53.2422611	RU002
70	38.1625	54.8	RU003
71	60.16666667	55.01666667	RU004
72	49.1876667	53.2534694	RU005
73	44.13999722	44.02	RU006
74	44.05	43.06000278	RU008
