"Pop" "Origin" "Array" "SampleID" "Trt" "Exp" "TrtPool" "Tmpt" "Latitude" "Longitude" "PC1" "PC2" "PC3" "PopTrtPool"
"29" "CA001" "inv" "500970_Cycle10" "CA001_D1T1" "drought" "exprs" "D1" 1 49.0149388888889 -122.882097222222 -5.65722386105795 -1.0449046774277 1.15637603783821 "CA001_D1"
"30" "CA001" "inv" "500970_Cycle12" "CA001_D1T2" "drought" "exprs" "D1" 2 49.0149388888889 -122.882097222222 -5.65722386105795 -1.0449046774277 1.15637603783821 "CA001_D1"
"31" "CA001" "inv" "500952_Cycle2" "CA001_D2T0" "drought" "exprs" "D2" 0 49.0149388888889 -122.882097222222 -5.65722386105795 -1.0449046774277 1.15637603783821 "CA001_D2"
"32" "CA001" "inv" "509185_Cycle5" "CA001_D2T1" "drought" "exprs" "D2" 1 49.0149388888889 -122.882097222222 -5.65722386105795 -1.0449046774277 1.15637603783821 "CA001_D2"
"33" "CA001" "inv" "509192_Cycle7" "CA001_D2T2" "drought" "exprs" "D2" 2 49.0149388888889 -122.882097222222 -5.65722386105795 -1.0449046774277 1.15637603783821 "CA001_D2"
"34" "CA001" "inv" "509195_Cycle12" "CA001_D3T0" "drought" "exprs" "D3" 0 49.0149388888889 -122.882097222222 -5.65722386105795 -1.0449046774277 1.15637603783821 "CA001_D3"
"35" "CA001" "inv" "500952_Cycle3" "CA001_D3T1" "drought" "exprs" "D3" 1 49.0149388888889 -122.882097222222 -5.65722386105795 -1.0449046774277 1.15637603783821 "CA001_D3"
"36" "CA001" "inv" "500952_Cycle7" "CA001_D3T2" "drought" "exprs" "D3" 2 49.0149388888889 -122.882097222222 -5.65722386105795 -1.0449046774277 1.15637603783821 "CA001_D3"
"37" "RU008" "nat" "509192_Cycle9" "RU008_C1T0" "control" "exprs" "C1" 0 44.05 43.06000278 2.50069672253671 1.87313761933206 3.15085744742955 "RU008_C1"
"38" "RU008" "nat" "501192_Cycle4" "RU008_C1T1" "control" "exprs" "C1" 1 44.05 43.06000278 2.50069672253671 1.87313761933206 3.15085744742955 "RU008_C1"
"39" "RU008" "nat" "501081_Cycle9" "RU008_C1T2" "control" "exprs" "C1" 2 44.05 43.06000278 2.50069672253671 1.87313761933206 3.15085744742955 "RU008_C1"
"40" "RU008" "nat" "509185_Cycle2" "RU008_C2T0" "control" "exprs" "C2" 0 44.05 43.06000278 2.50069672253671 1.87313761933206 3.15085744742955 "RU008_C2"
"41" "RU008" "nat" "509185_Cycle8" "RU008_C2T1" "control" "exprs" "C2" 1 44.05 43.06000278 2.50069672253671 1.87313761933206 3.15085744742955 "RU008_C2"
"42" "RU008" "nat" "501081_Cycle12" "RU008_C2T2" "control" "exprs" "C2" 2 44.05 43.06000278 2.50069672253671 1.87313761933206 3.15085744742955 "RU008_C2"
"43" "RU008" "nat" "500813_Cycle5" "RU008_C3T0" "control" "exprs" "C3" 0 44.05 43.06000278 2.50069672253671 1.87313761933206 3.15085744742955 "RU008_C3"
"44" "RU008" "nat" "500813_Cycle4" "RU008_C3T1" "control" "exprs" "C3" 1 44.05 43.06000278 2.50069672253671 1.87313761933206 3.15085744742955 "RU008_C3"
"45" "RU008" "nat" "501081_Cycle3" "RU008_C3T2" "control" "exprs" "C3" 2 44.05 43.06000278 2.50069672253671 1.87313761933206 3.15085744742955 "RU008_C3"
"46" "RU008" "nat" "500970_Cycle9" "RU008_D1T0" "drought" "exprs" "D1" 0 44.05 43.06000278 2.50069672253671 1.87313761933206 3.15085744742955 "RU008_D1"
"47" "RU008" "nat" "509196_Cycle2" "RU008_D1T1" "drought" "exprs" "D1" 1 44.05 43.06000278 2.50069672253671 1.87313761933206 3.15085744742955 "RU008_D1"
"48" "RU008" "nat" "509185_Cycle10" "RU008_D1T2" "drought" "exprs" "D1" 2 44.05 43.06000278 2.50069672253671 1.87313761933206 3.15085744742955 "RU008_D1"
"49" "RU008" "nat" "500982_Cycle10" "RU008_D2T0" "drought" "exprs" "D2" 0 44.05 43.06000278 2.50069672253671 1.87313761933206 3.15085744742955 "RU008_D2"
"50" "RU008" "nat" "501081_Cycle11" "RU008_D2T1" "drought" "exprs" "D2" 1 44.05 43.06000278 2.50069672253671 1.87313761933206 3.15085744742955 "RU008_D2"
"51" "RU008" "nat" "500970_Cycle1" "RU008_D2T2" "drought" "exprs" "D2" 2 44.05 43.06000278 2.50069672253671 1.87313761933206 3.15085744742955 "RU008_D2"
"52" "RU008" "nat" "500970_Cycle2" "RU008_D3T0" "drought" "exprs" "D3" 0 44.05 43.06000278 2.50069672253671 1.87313761933206 3.15085744742955 "RU008_D3"
"53" "RU008" "nat" "500952_Cycle6" "RU008_D3T1" "drought" "exprs" "D3" 1 44.05 43.06000278 2.50069672253671 1.87313761933206 3.15085744742955 "RU008_D3"
"54" "RU008" "nat" "509185_Cycle4" "RU008_D3T2" "drought" "exprs" "D3" 2 44.05 43.06000278 2.50069672253671 1.87313761933206 3.15085744742955 "RU008_D3"
"55" "TR001" "nat" "501081_Cycle2" "TR001_C1T0" "control" "exprs" "C1" 0 41.7511111111111 27.2477777777778 0.162751877077441 0.620856198738015 -2.54181987780268 "TR001_C1"
"56" "TR001" "nat" "501081_Cycle4" "TR001_C1T1" "control" "exprs" "C1" 1 41.7511111111111 27.2477777777778 0.162751877077441 0.620856198738015 -2.54181987780268 "TR001_C1"
"57" "TR001" "nat" "500813_Cycle2" "TR001_C1T2" "control" "exprs" "C1" 2 41.7511111111111 27.2477777777778 0.162751877077441 0.620856198738015 -2.54181987780268 "TR001_C1"
"58" "TR001" "nat" "500813_Cycle1" "TR001_C2T0" "control" "exprs" "C2" 0 41.7511111111111 27.2477777777778 0.162751877077441 0.620856198738015 -2.54181987780268 "TR001_C2"
