"Contig"	"popLRT"	"popQ"	"popQsig"
"111"	"Contig10097"	"1.66705156469668e-05"	0.000438114361257753	TRUE
"112"	"Contig10098"	"0.340005784317951"	0.896264059707069	FALSE
"113"	"Contig10099"	"1"	1	FALSE
"114"	"Contig101"	"1"	1	FALSE
"115"	"Contig1010"	"1"	1	FALSE
"116"	"Contig10100"	"1"	1	FALSE
"117"	"Contig10101"	"0.09092623146671"	0.321104302605585	FALSE
"118"	"Contig10102"	"1"	1	FALSE
"119"	"Contig10103"	"0.999998256508638"	1	FALSE
"120"	"Contig10104"	"1"	1	FALSE
"121"	"Contig10105"	"1"	1	FALSE
"122"	"Contig10106"	"1"	1	FALSE
"123"	"Contig10107"	"1"	1	FALSE
"124"	"Contig10108"	"1"	1	FALSE
"125"	"Contig10109"	"1"	1	FALSE
"126"	"Contig1011"	"0.285762841943206"	0.780450754866729	FALSE
"127"	"Contig10110"	"6.93762063499234e-05"	0.00130145331706178	TRUE
"128"	"Contig10111"	"0.00144759888268081"	0.0131687372478199	TRUE
"129"	"Contig10112"	"1"	1	FALSE
"130"	"Contig10113"	"0.99851477456486"	1	FALSE
"131"	"Contig10114"	"1"	1	FALSE
"132"	"Contig10115"	"0.0258159033354388"	0.122019184040107	FALSE
"133"	"Contig10116"	"0.997383556083567"	1	FALSE
"134"	"Contig10117"	"0.0564357350963197"	0.222289698477881	FALSE
"135"	"Contig10118"	"0.392824453726614"	1	FALSE
"136"	"Contig10119"	"1"	1	FALSE
"137"	"Contig1012"	"1"	1	FALSE
"138"	"Contig10120"	"0.358545334926207"	0.934158932564976	FALSE
"139"	"Contig10121"	"3.26036904747777e-05"	0.000733631123721547	TRUE
"140"	"Contig10122"	"1"	1	FALSE
"141"	"Contig10123"	"1"	1	FALSE
"142"	"Contig10124"	"6.94479053613037e-05"	0.00130145331706178	TRUE
"143"	"Contig10125"	"1"	1	FALSE
"144"	"Contig10126"	"1"	1	FALSE
"145"	"Contig10127"	"0.998156786566735"	1	FALSE
"146"	"Contig10128"	"1"	1	FALSE
"147"	"Contig10129"	"0.0347296656787038"	0.153575588288204	FALSE
"148"	"Contig1013"	"0.999280193531448"	1	FALSE
"149"	"Contig10130"	"1"	1	FALSE
"150"	"Contig10131"	"0.752647872470669"	1	FALSE
"151"	"Contig10132"	"0.0468603206702341"	0.193136756229597	FALSE
"152"	"Contig10133"	"0.99654849487652"	1	FALSE
"153"	"Contig10134"	"0.0554247198079614"	0.219028500295366	FALSE
"154"	"Contig10135"	"1"	1	FALSE
"155"	"Contig10136"	"1"	1	FALSE
"156"	"Contig10137"	"0.0240722075637862"	0.115440659675638	FALSE
"157"	"Contig10138"	"0.00124621178748899"	0.0117431791414034	TRUE
"158"	"Contig10139"	"0.0185696052145811"	0.0942049703728154	FALSE
"159"	"Contig1014"	"2.45829022531706e-08"	3.09308665380924e-06	TRUE
"160"	"Contig10140"	"1"	1	FALSE
"161"	"Contig10141"	"0.0142705718316157"	0.0768417343556443	FALSE
"162"	"Contig10142"	"9.12517497961444e-05"	0.00160292077707539	TRUE
"163"	"Contig10143"	"0.378916405538048"	0.975075599770861	FALSE
"164"	"Contig10144"	"1"	1	FALSE
"165"	"Contig10145"	"0.999801868197754"	1	FALSE
"166"	"Contig10146"	"0.00107208142244897"	0.010472658351773	TRUE
"167"	"Contig10147"	"1"	1	FALSE
"168"	"Contig10148"	"1"	1	FALSE
"169"	"Contig10149"	"8.89643338463014e-07"	4.70181493188171e-05	TRUE
"170"	"Contig1015"	"1"	1	FALSE
"171"	"Contig10150"	"0.0293468124569031"	0.134777680277687	FALSE
"172"	"Contig10151"	"1"	1	FALSE
"173"	"Contig10152"	"1"	1	FALSE
"174"	"Contig10153"	"1"	1	FALSE
"175"	"Contig10154"	"0.00441939842053206"	0.0309952154022007	TRUE
"176"	"Contig10155"	"1"	1	FALSE
"177"	"Contig10156"	"1"	1	FALSE
"178"	"Contig10157"	"1.52718478758414e-06"	7.13590539644216e-05	TRUE
"179"	"Contig10158"	"0.00273479423690097"	0.0215868689060464	TRUE
"180"	"Contig10159"	"1"	1	FALSE
"181"	"Contig1016"	"1"	1	FALSE
"182"	"Contig10160"	"0.269732307702727"	0.746762741368805	FALSE
"183"	"Contig10161"	"1"	1	FALSE
"184"	"Contig10162"	"1"	1	FALSE
"185"	"Contig10163"	"1"	1	FALSE
"186"	"Contig10164"	"0.999303043187729"	1	FALSE
"187"	"Contig10165"	"0.998636386369495"	1	FALSE
"188"	"Contig10166"	"1"	1	FALSE
"189"	"Contig10167"	"0.325956626608485"	0.866604678349505	FALSE
"190"	"Contig10168"	"0.00141334302376071"	0.0129309814224628	TRUE
