"Contig"	"InvExprVal"	"NatExprVal"	"InvUp"	"OriginsEq"	"InvDefUp"	"InvDefDn"
"131"	"Contig2456"	10.718798215903	11.4390239609631	FALSE	FALSE	FALSE	FALSE
"133"	"Contig2759"	10.7750395558278	10.1145866802325	TRUE	FALSE	TRUE	TRUE
"135"	"Contig2909"	11.4325463002574	11.1425098181984	TRUE	FALSE	TRUE	TRUE
"137"	"Contig3037"	12.7168529567572	12.583744124241	TRUE	FALSE	TRUE	TRUE
"139"	"Contig3045"	6.67209080097897	7.21314017320807	FALSE	FALSE	FALSE	FALSE
"141"	"Contig3084"	12.8274557941018	12.7084781895573	TRUE	FALSE	TRUE	TRUE
"143"	"Contig3163"	7.29462375487171	9.27869472000526	FALSE	FALSE	FALSE	FALSE
"145"	"Contig3334"	5.94430383721986	7.19351514626257	FALSE	FALSE	FALSE	FALSE
"147"	"Contig3397"	11.7376854182188	11.9743839041588	FALSE	FALSE	FALSE	FALSE
"149"	"Contig3513"	7.15863311997524	5.17101132619166	TRUE	FALSE	TRUE	TRUE
"151"	"Contig3528"	11.8960049535338	12.0961628500704	FALSE	FALSE	FALSE	FALSE
"153"	"Contig3670"	11.7656443062812	12.1380874878979	FALSE	FALSE	FALSE	FALSE
"155"	"Contig3687"	12.7944670698605	11.8266310299736	TRUE	FALSE	TRUE	TRUE
"157"	"Contig3791"	11.3520217056931	10.8199825469309	TRUE	FALSE	TRUE	TRUE
"159"	"Contig3845"	13.1955785539643	12.7386808481404	TRUE	FALSE	TRUE	TRUE
"161"	"Contig3892"	9.93149907894925	9.54289126596791	TRUE	FALSE	TRUE	TRUE
"163"	"Contig4025"	8.00602341584855	8.91612898993861	FALSE	FALSE	FALSE	FALSE
"165"	"Contig4176"	13.3184703874514	12.6238792458527	TRUE	FALSE	TRUE	TRUE
"167"	"Contig4215"	11.7925800478918	11.1789027470942	TRUE	FALSE	TRUE	TRUE
"169"	"Contig4523"	10.9697451419627	9.64701298185624	TRUE	FALSE	TRUE	TRUE
"171"	"Contig46"	10.3043633603191	10.574087225061	FALSE	FALSE	FALSE	FALSE
"173"	"Contig4738"	12.4130420094912	12.5855439778572	FALSE	FALSE	FALSE	FALSE
"175"	"Contig4739"	10.0367836338609	10.9673386664868	FALSE	FALSE	FALSE	FALSE
"177"	"Contig5156"	8.67953159413101	9.61600748183337	FALSE	FALSE	FALSE	FALSE
"179"	"Contig5198"	9.70667184924383	10.3863563780196	FALSE	FALSE	FALSE	FALSE
"181"	"Contig551"	7.61601637425347	8.7672250046333	FALSE	FALSE	FALSE	FALSE
"183"	"Contig5529"	11.895982668751	11.7816941560238	TRUE	FALSE	TRUE	TRUE
"185"	"Contig5642"	11.5772268845636	11.2581627891808	TRUE	FALSE	TRUE	TRUE
"187"	"Contig5665"	8.26534748863382	8.74550462589127	FALSE	FALSE	FALSE	FALSE
"189"	"Contig5733"	11.1118827463891	10.6304798734033	TRUE	FALSE	TRUE	TRUE
"191"	"Contig5978"	12.4670101988523	12.8191434374046	FALSE	FALSE	FALSE	FALSE
"193"	"Contig6008"	11.2918342284988	10.8892134214354	TRUE	FALSE	TRUE	TRUE
"195"	"Contig6019"	4.97245648068588	5.91221993837216	FALSE	FALSE	FALSE	FALSE
"197"	"Contig6144"	6.4803615271578	5.09068596393082	TRUE	FALSE	TRUE	TRUE
"199"	"Contig6149"	12.41961155194	12.1072294724463	TRUE	FALSE	TRUE	TRUE
"201"	"Contig6264"	8.22543457716697	7.50980167236287	TRUE	FALSE	TRUE	TRUE
